ticker,earnings_date,sector,beta,eps_estimate,quarter,day_of_week,eps_surprise_avg,beat_rate_last_8,rsi_14,macd_diff,sma_ratio_20_50,price_return_30d,price_return_7d_before_cutoff,price_return_90d,volatility_30d,volume_avg_30d,volume_trend,price_to_avg_30d,spy_return,relative_return_30d,beat
NVDA,2026-05-20,Technology,2.211,1.77,2,2,0.05082451102253087,1.0,72.13099109822038,1.4605258086389679,1.0840734997959642,0.2849501901161837,-0.056513198975478685,0.20052212128786895,0.021268915648238004,0.6600879272642891,1.046573254899979,1.1304349523937856,0.13288259303954675,0.15206759707663697,1
NVDA,2026-02-25,Technology,2.211,1.54,1,2,0.04960220391787082,1.0,52.87442911634087,0.19127399463865777,1.0061330983850594,0.00395201930676814,-0.012830524262981147,-0.023781215011640544,0.023855358827333015,0.7393157527549621,1.052903891646465,1.0131452834648076,-0.007979105072260073,0.011931124379028213,1
NVDA,2025-11-19,Technology,2.211,1.26,4,2,0.0616656959813629,1.0,52.49217002464762,-0.7650867702074282,1.0402199437394437,0.02599397395215708,0.06673477598773214,0.1899001951632715,0.026361596431902067,0.5845723337400301,1.0621264538319923,1.0189989232710817,0.021159132737916808,0.004834841214240271,1
NVDA,2025-08-27,Technology,2.211,1.01,3,2,0.067389705882353,1.0,51.2476295788642,-1.4651503944848443,1.0785838119015274,0.06886037843222526,0.05434032048666593,0.5812870291606393,0.016581210548307242,0.6952899641008252,0.9712899723786337,0.9996959649445917,0.01963826496003529,0.049222113472189966,1
NVDA,2025-05-28,Technology,2.211,0.75,2,2,0.06971113445378152,1.0,65.78831900562407,1.7404391380189583,1.0552805457163812,0.15280333643177957,0.13475977634098202,-0.010642278231865254,0.031383087802691875,0.41227432215136445,0.889027212119048,1.139763778630165,0.06241091657131714,0.09039241986046243,1
NVDA,2025-02-26,Technology,2.211,0.85,1,2,0.09055512422360248,1.0,56.82114001491251,1.8318195899775267,0.9722947663238352,-0.06825936123342391,0.07156044958366437,0.04967644371037627,0.045745142928848646,0.33488028684147936,0.7577004940903149,1.0440656964904103,0.029511600129090265,-0.09777096136251417,1
NVDA,2024-11-20,Technology,2.211,0.75,4,2,0.11467277128242599,0.875,60.875880740497195,0.16141484565929343,1.0939220663079823,0.19063904290046807,-0.011516176547757828,0.08429708098403155,0.0230531309077477,0.6049500790917985,0.8851290175560197,1.0581537524763187,0.05172415873592229,0.13891488416454578,1
NVDA,2024-08-28,Technology,2.211,0.64,3,2,0.17047634271099743,0.75,60.754489066662934,2.856166838052265,0.937369579475949,0.008634105400148862,0.08268850577799736,0.49429144565967253,0.04711633181223785,0.6171863807841077,0.9253005508682711,1.1037147491012647,0.007439606041416802,0.0011944993587320596,1
NVDA,2024-05-22,Technology,2.211,0.56,2,2,0.20371046969512446,0.75,62.299756248267315,0.7269097497876507,0.983053898698694,0.10156582300789996,0.03213070125212791,0.8110813715224172,0.034416310997528864,0.4954836886434079,0.8377252891949585,1.0908482601803695,0.03256880523790584,0.06899701776999412,1
NVDA,2024-02-21,Technology,2.211,0.46,1,2,0.20235177404295054,0.75,83.85910790414346,0.5328799629239986,1.1670280214374047,0.5535331903201215,0.11784173366405937,0.6150193399892014,0.0204788142098307,0.6282816798171863,1.0863675346322816,1.21136572785873,0.0635253551978312,0.4900078351222903,1
NVDA,2023-11-21,Technology,2.211,0.34,4,1,0.12251984126984126,0.75,70.74567156982353,0.7935160298064816,0.9940248534549827,0.1274947746300501,0.13452878036501614,0.1710904996862439,0.02441061585694822,0.5482881199376775,0.9261095980055346,1.1164069971483814,0.05668082460810342,0.07081395002194668,1
NVDA,2023-08-23,Technology,2.211,0.21,3,2,0.05109126984126981,0.625,48.6451515029344,-0.39205693559763494,1.0307763330499473,0.03284807869137474,-0.044620306875645666,0.5769431583265938,0.02624905427993284,0.4780656291428063,1.0568381124910426,0.9753506660566844,-4.539078221288406e-05,0.03289346947358762,1
NVDA,2023-05-24,Technology,2.211,0.09,2,2,0.014766483516483488,0.625,66.79846223556677,0.08338447428616602,1.0419221562720944,0.12265168088114997,0.0296225276678046,0.9313492282402576,0.020280587655602672,0.6343771287606728,0.9082540113621052,1.0862532847395183,0.018719462666966002,0.10393221821418397,1
NVDA,2023-02-22,Technology,2.211,0.08,1,2,0.004349816849816859,0.625,68.3113935614893,0.0817803190861468,1.1532372739341206,0.5434269065596433,0.08877986215172329,0.8855435307529709,0.03546786111460434,0.7416708365779685,1.0609660504314848,1.1949712085427902,0.07874703542289674,0.4646798711367466,1
NVDA,2022-11-16,Technology,2.211,0.07,4,2,0.06279137529137532,0.75,54.94658068928329,0.19303983604807054,0.9991710435736919,0.12733202408839617,0.0863948822756675,-0.08922048690888018,0.03541126516840097,0.6793502669676498,0.9122399192267181,1.0783758224586348,0.03125789324000161,0.09607413084839456,0
NVDA,2022-08-24,Technology,2.211,0.05,3,2,0.06279137529137532,0.75,53.99836874287103,0.004395567237088116,1.0689993309306782,0.1561986650810383,-0.0592969036296318,-0.20676167835577275,0.03265823217862901,0.5288245732499949,1.037378020772379,1.0538808284855763,0.09681474512771726,0.05938391995332104,0
NVDA,2022-05-25,Technology,2.211,0.13,2,2,0.07481060606060605,0.75,39.134620381683625,0.0738312557692975,0.8338244559570295,-0.30601876193548727,-0.051329138731304846,-0.38171949639709524,0.04810185575760681,0.7803900067500663,1.0714953907190397,0.855981915330544,-0.1224132849718571,-0.18360547696363017,1
NVDA,2022-02-16,Technology,2.211,0.12,1,2,0.08969155844155839,0.75,55.59922556710508,0.431383833012301,0.8912926789905024,-0.10986306562885295,0.05407708964125746,0.3535508095935289,0.03418193277340661,0.5375582524236436,0.9811693119406506,1.028313567706809,-0.041761187103323216,-0.06810187852552974,1
NVDA,2021-11-17,Technology,2.211,0.11,4,2,0.10863095238095238,0.625,75.38568671066668,0.5618931056493817,1.0997750961374047,0.4220407843540075,0.16170910185860676,0.44632590650939274,0.030716520427676836,0.2826667279225333,1.5693104208583377,1.237194351460617,0.08034667433804588,0.3416941100159616,1
NVDA,2021-08-18,Technology,2.211,0.1,3,2,0.10863095238095238,0.625,51.50197043842845,-0.02458521345531839,1.0205411460292004,-0.01517320672759781,0.013140346894119359,0.42145612151851175,0.020266883419154468,0.436179878781406,0.6202098462651607,0.995992536501839,0.03672386629867619,-0.051897073026274,0
NVDA,2021-05-26,Technology,2.211,0.08,2,2,0.1398809523809524,0.5,44.97931515825197,-0.11193111721315004,1.0315018151516357,-0.01754883873986235,-0.04685392121987986,0.032970440340922114,0.025891917559626453,0.35218706335804223,0.8400250845405631,0.9485098061403925,0.005728146511221777,-0.023276985251084126,1
NVDA,2021-02-24,Technology,2.211,0.07,1,2,0.16666666666666674,0.375,62.159284541203306,0.16411240160022245,1.0320791936240636,0.11199388659819665,0.10633286385296858,0.0774385827848525,0.027943107916368594,0.5327663914655493,1.0496173726774598,1.0884270815267612,0.056715124882990686,0.05527876171520596,1
NVDA,2020-11-18,Technology,2.211,0.06,4,2,0.12500000000000003,0.25,50.473440171229036,-0.010118423731150503,1.0143594954171422,-0.014433319546711676,-0.041996994279489774,0.31382274000298427,0.033151192555085675,0.4818549586531025,1.072511707071865,0.9908681148321306,0.058242322359918,-0.07267564190662967,1
NVDA,2020-08-19,Technology,2.211,0.05,3,2,0.12500000000000003,0.25,66.65422289901193,0.01485595618683,1.074490129362688,0.2004460507149448,0.10135295411271361,0.7057332334520139,0.022479637994138164,0.6695820956396327,0.9636264029008758,1.0912842047908555,0.08669319982942048,0.11375285088552434,0
